Unnamed: 0,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,fight_year,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,born_year_fighter1,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,born_year_fighter2
2813,Michael Bisping,Cung Le,1,185.0,f,KO/TKO,4,2014,31,9,0,0,185.42,190.5,1,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,77.5,1979,9,3,0,0,175.26,175.26,0,4.36,48.0,2.98,66.0,1.37,71.0,88.0,0.3,75.0,1972
2814,Tyron Woodley,Dong Hyun Kim,1,170.0,f,KO/TKO,1,2014,19,3,1,0,175.26,187.96,1,2.62,48.0,2.26,61.0,1.34,42.0,94.0,0.5,82.608696,1982,22,4,1,1,187.96,193.04,0,2.12,49.0,1.89,58.0,2.93,43.0,71.0,0.6,78.57143,1981
2815,Brendan O'Reilly,Zhang Lipeng,0,155.0,f,DEC,3,2014,6,3,0,1,170.18,175.26,1,1.9,47.0,2.77,39.0,2.22,43.0,36.0,0.6,60.0,1987,9,9,1,0,180.34,180.34,0,1.28,48.0,1.88,53.0,1.75,30.0,69.0,0.8,47.36842,1990
2816,Jianping Yang,Ning Guangyou,0,145.0,t,DEC,3,2014,7,4,1,0,170.18,165.1,1,1.4,26.0,2.07,65.0,1.0,25.0,33.0,0.0,58.333332,1988,6,4,1,0,162.56,162.56,0,2.66,41.0,1.91,61.0,1.09,50.0,62.0,0.3,54.545456,1981
2817,Sai Wang,Danny Mitchell,1,170.0,f,DEC,3,2014,8,5,1,0,182.88,182.88,0,3.17,46.0,2.27,53.0,0.0,0.0,77.0,0.0,57.142857,1986,14,6,1,0,187.96,187.96,1,2.53,49.0,2.53,52.0,0.0,0.0,100.0,3.0,66.666664,1986
2818,Shinsho Anzai,Alberto Mina,0,170.0,f,KO/TKO,1,2014,10,3,0,0,170.18,177.8,1,3.23,58.0,3.75,45.0,1.83,16.0,75.0,0.0,76.92308,1985,13,1,0,0,182.88,195.58,1,3.23,38.0,3.7,47.0,1.85,20.0,50.0,0.0,92.85714,1982
2819,Ulka Sasaki,Roland Delorme,1,135.0,f,SUB,1,2014,21,6,2,0,177.8,180.34,0,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,72.413795,1989,9,4,0,1,175.26,180.34,1,2.28,44.0,4.32,40.0,2.51,34.0,42.0,1.6,64.28571,1983
2821,Milana Dudieva,Elizabeth Phillips,1,,f,DEC,3,2014,11,5,0,0,160.02,154.94,1,0.87,31.0,3.43,58.0,2.34,45.0,0.0,0.0,68.75,1989,5,4,0,0,167.64,165.1,1,2.6,33.0,3.07,58.0,0.75,25.0,53.0,0.2,55.555557,1986
2822,Benson Henderson,Rafael Dos Anjos,0,155.0,f,KO/TKO,1,2014,23,5,0,0,175.26,177.8,0,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8,82.14286,1983,28,10,0,0,172.72,177.8,0,3.71,44.0,3.18,64.0,2.11,40.0,64.0,0.7,73.68421,1984
2823,Mike Pyle,Jordan Mein,0,170.0,f,KO/TKO,1,2014,27,14,1,0,182.88,187.96,1,2.74,45.0,2.84,60.0,1.8,35.0,70.0,1.5,64.28571,1975,31,12,0,0,182.88,185.42,1,3.35,44.0,2.55,69.0,1.56,58.0,66.0,0.2,72.093025,1989
2824,Thales Leites,Francis Carmont,1,185.0,f,KO/TKO,2,2014,28,9,0,0,185.42,198.12,1,2.13,40.0,2.99,52.0,2.1,27.0,30.0,1.1,75.675674,1981,23,10,0,0,190.5,198.12,1,2.22,42.0,1.64,59.0,1.79,36.0,73.0,0.6,69.69697,1981
2826,James Vick,Valmir Lazaro,1,155.0,f,DEC,3,2014,13,2,0,0,190.5,193.04,1,4.16,38.0,3.05,62.0,0.32,33.0,56.0,0.8,86.666664,1987,13,4,0,0,182.88,185.42,1,4.87,37.0,4.09,61.0,1.33,40.0,96.0,0.0,76.47059,1985
2827,Chas Skelly,Tom Niinimaki,1,145.0,f,SUB,1,2014,17,4,0,0,180.34,182.88,1,2.12,40.0,3.49,47.0,1.83,34.0,35.0,2.3,80.95238,1985,21,8,1,0,175.26,175.26,1,1.91,54.0,2.31,58.0,2.97,46.0,33.0,0.5,70.0,1982
2828,Neil Magny,Alex Garcia,1,170.0,f,DEC,3,2014,21,8,0,0,190.5,203.2,1,3.86,46.0,2.22,56.0,2.62,46.0,60.0,0.3,72.413795,1987,15,6,0,0,175.26,182.88,1,1.81,31.0,3.03,59.0,3.72,52.0,66.0,0.1,71.42857,1987
2829,Beneil Dariush,Anthony Rocco Martin,1,155.0,f,SUB,2,2014,15,4,1,0,177.8,182.88,0,3.92,48.0,2.64,61.0,1.47,30.0,80.0,0.8,75.0,1989,14,4,0,0,182.88,185.42,1,2.81,41.0,2.96,56.0,1.0,25.0,55.0,1.3,77.77778,1989
2830,Matt Hobar,Aaron Phillips,1,135.0,f,DEC,3,2014,9,3,0,0,177.8,177.8,0,3.23,42.0,4.27,52.0,3.66,44.0,50.0,0.0,75.0,1987,8,2,0,0,175.26,177.8,0,1.87,59.0,3.33,40.0,0.0,0.0,35.0,0.5,80.0,1989
2831,Ben Saunders,Chris Heatherly,1,170.0,f,SUB,1,2014,22,11,2,0,187.96,195.58,1,3.19,50.0,3.58,51.0,0.22,40.0,68.0,1.0,62.857143,1983,9,3,0,1,175.26,172.72,1,1.08,45.0,2.67,52.0,3.39,50.0,100.0,0.7,69.23077,1987
2832,Wilson Reis,Joby Sanchez,1,125.0,f,DEC,3,2014,22,9,0,0,162.56,165.1,0,1.82,29.0,2.99,55.0,4.94,43.0,47.0,0.6,70.96774,1985,11,4,0,0,167.64,172.72,1,3.22,36.0,2.82,63.0,0.95,71.0,51.0,0.4,73.333336,1991
2833,TJ Dillashaw,Joe Soto,1,135.0,t,KO/TKO,5,2014,17,3,0,0,167.64,170.18,1,5.38,41.0,2.94,66.0,1.69,37.0,86.0,1.0,85.0,1986,18,7,0,0,167.64,165.1,1,3.36,41.0,5.37,67.0,0.85,21.0,70.0,1.9,72.0,1987
2834,Danny Castillo,Tony Ferguson,0,155.0,f,DEC,3,2014,17,10,0,0,175.26,180.34,1,2.57,42.0,1.96,62.0,2.95,38.0,63.0,0.2,62.962963,1979,25,3,0,0,180.34,193.04,1,5.51,44.0,3.55,63.0,0.6,42.0,76.0,1.5,89.28571,1984
2835,Bethe Correia,Shayna Baszler,1,,f,KO/TKO,2,2014,10,3,1,0,165.1,162.56,1,4.34,45.0,3.87,59.0,0.48,25.0,85.0,0.0,71.42857,1983,15,10,0,0,170.18,170.18,1,2.49,30.0,6.36,51.0,0.67,18.0,44.0,1.3,60.0,1980
2836,Ramsey Nijem,Diego Ferreira,0,155.0,f,KO/TKO,2,2014,10,6,0,0,180.34,190.5,1,3.05,44.0,1.62,62.0,5.32,62.0,55.0,1.1,62.5,1988,13,2,0,0,175.26,187.96,1,3.86,38.0,3.08,53.0,0.35,11.0,62.0,1.0,86.666664,1985
2837,Yancy Medeiros,Damon Jackson,1,155.0,f,SUB,2,2014,15,5,0,1,177.8,190.5,1,4.39,36.0,5.22,48.0,0.15,33.0,83.0,0.6,71.42857,1987,9,1,1,1,180.34,180.34,0,2.71,35.0,3.9,43.0,1.77,20.0,60.0,0.0,75.0,1988
2838,Derek Brunson,Lorenz Larkin,1,185.0,f,DEC,3,2014,18,7,0,0,185.42,195.58,0,3.03,44.0,2.55,50.0,2.74,28.0,100.0,0.6,72.0,1984,18,5,0,1,180.34,182.88,1,3.53,46.0,2.74,63.0,0.27,42.0,79.0,0.1,75.0,1986
2839,Anthony Hamilton,Ruan Potts,1,265.0,f,KO/TKO,2,2014,15,9,0,0,195.58,193.04,1,3.91,65.0,3.02,45.0,2.62,42.0,78.0,0.0,62.5,1980,8,4,0,0,187.96,190.5,1,0.85,37.0,5.92,22.0,0.75,16.0,33.0,2.3,66.666664,1978
2840,Cain Carrizosa,Chris Wade,0,155.0,f,SUB,1,2014,6,2,0,0,172.72,187.96,1,2.72,42.0,5.8,51.0,0.0,0.0,14.0,0.0,75.0,1986,12,3,0,0,177.8,177.8,1,1.7,53.0,1.75,51.0,2.6,51.0,55.0,1.1,80.0,1987
2841,Jacare Souza,Gegard Mousasi,1,185.0,f,SUB,3,2014,26,6,0,1,185.42,182.88,1,2.61,46.0,2.46,63.0,3.01,41.0,53.0,1.7,78.78788,1979,42,6,2,0,187.96,193.04,1,3.75,50.0,1.21,68.0,1.59,60.0,59.0,1.1,84.0,1985
2842,Ben Rothwell,Alistair Overeem,1,265.0,f,KO/TKO,1,2014,36,10,0,0,193.04,198.12,1,2.89,41.0,3.92,46.0,0.84,36.0,69.0,0.4,78.26087,1981,43,17,0,1,193.04,203.2,1,3.53,61.0,1.93,61.0,1.39,62.0,72.0,1.0,70.491806,1980
2843,Derrick Lewis,Matt Mitrione,0,265.0,f,KO/TKO,1,2014,21,6,0,1,190.5,200.66,1,2.76,50.0,2.3,44.0,0.49,23.0,53.0,0.0,75.0,1985,9,5,0,0,190.5,200.66,0,3.55,50.0,2.79,64.0,0.0,0.0,55.0,0.7,64.28571,1978
2844,Joe Lauzon,Michael Chiesa,1,155.0,f,KO/TKO,2,2014,27,16,0,0,177.8,180.34,1,2.74,38.0,5.39,54.0,2.34,45.0,54.0,2.1,62.7907,1984,14,4,0,0,185.42,190.5,0,2.17,37.0,2.45,50.0,2.87,39.0,68.0,1.4,77.77778,1987
2845,Justin Scoggins,John Moraga,0,125.0,f,SUB,2,2014,11,5,0,0,170.18,167.64,0,3.56,51.0,2.16,55.0,3.42,63.0,82.0,0.5,68.75,1992,19,7,0,0,167.64,167.64,1,2.57,43.0,2.55,56.0,0.62,23.0,44.0,1.1,73.07692,1984
2846,Rodrigo Damm,Al Iaquinta,0,155.0,f,KO/TKO,3,2014,12,9,0,0,170.18,180.34,1,3.5,36.0,5.61,57.0,0.44,16.0,80.0,0.3,57.142857,1980,13,4,1,0,175.26,177.8,1,4.28,40.0,4.04,62.0,0.98,28.0,77.0,0.4,72.22222,1987
2847,Chris Camozzi,Rafael Natal,0,185.0,f,DEC,3,2014,24,13,0,0,187.96,193.04,1,3.57,44.0,2.96,56.0,0.27,19.0,57.0,0.5,64.86487,1986,21,9,1,0,182.88,193.04,1,3.1,47.0,2.48,57.0,2.55,34.0,77.0,0.5,67.741936,1982
2848,Chris Beal,Tateki Matsuda,1,135.0,f,DEC,3,2014,10,3,0,0,170.18,175.26,1,3.45,35.0,3.18,61.0,1.6,58.0,78.0,0.2,76.92308,1985,10,7,0,0,170.18,165.1,1,3.2,34.0,3.43,69.0,0.0,0.0,16.0,0.0,58.82353,1986
2849,Chas Skelly,Sean Soriano,1,145.0,f,DEC,3,2014,17,4,0,0,180.34,182.88,1,2.12,40.0,3.49,47.0,1.83,34.0,35.0,2.3,80.95238,1985,8,3,0,0,175.26,177.8,1,3.15,61.0,2.31,52.0,1.27,42.0,55.0,0.0,72.72727,1989
2850,Antonio Silva,Andrei Arlovski,0,265.0,f,KO/TKO,1,2014,19,10,1,1,193.04,203.2,1,2.89,45.0,3.09,50.0,0.82,29.0,66.0,0.8,61.29032,1979,27,17,0,1,190.5,195.58,1,3.13,42.0,2.62,57.0,0.61,37.0,79.0,0.3,60.0,1979
2851,Gleison Tibau,Piotr Hallmann,1,155.0,f,DEC,3,2014,40,14,0,0,177.8,180.34,0,1.95,31.0,2.51,63.0,4.08,53.0,92.0,0.8,74.07407,1983,15,5,0,0,175.26,180.34,1,3.98,45.0,3.17,58.0,2.55,44.0,70.0,0.4,75.0,1987
2852,Leonardo Santos,Efrain Escudero,1,155.0,f,DEC,3,2014,16,4,1,0,182.88,190.5,1,2.3,40.0,2.64,61.0,1.14,25.0,86.0,0.5,76.190475,1980,25,11,0,0,175.26,177.8,1,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8,69.44444,1986
2853,Wendell Oliveira,Santiago Ponzinibbio,0,170.0,f,KO/TKO,1,2014,24,9,0,0,177.8,182.88,1,3.77,47.0,4.4,47.0,0.0,0.0,100.0,0.0,72.72727,1983,28,3,0,0,182.88,185.42,1,4.27,39.0,4.02,64.0,0.54,44.0,60.0,0.0,90.32258,1986
2854,Iuri Alcantara,Russell Doane,1,135.0,f,DEC,3,2014,35,10,0,1,175.26,180.34,0,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,76.08696,1980,15,8,0,0,170.18,177.8,1,1.75,40.0,1.68,53.0,2.11,45.0,52.0,0.8,65.21739,1986
2855,Jessica Andrade,Larissa Pacheco,1,,f,SUB,1,2014,19,6,0,0,154.94,157.48,1,6.58,51.0,5.04,51.0,3.2,58.0,75.0,0.5,76.0,1991,10,2,0,0,170.18,175.26,1,1.21,19.0,4.14,55.0,0.0,0.0,0.0,0.0,83.333336,1994
2856,Godofredo Pepey,Dashon Johnson,1,145.0,f,SUB,1,2014,14,6,0,0,170.18,185.42,1,2.32,38.0,3.23,47.0,0.37,7.0,35.0,1.5,70.0,1987,9,2,0,0,170.18,177.8,1,1.01,69.0,3.83,35.0,0.85,33.0,63.0,0.8,81.818184,1988
2857,George Sullivan,Igor Araujo,1,170.0,f,KO/TKO,2,2014,17,7,0,1,182.88,185.42,1,3.53,39.0,2.42,57.0,1.37,20.0,38.0,0.7,68.0,1981,25,8,0,1,185.42,195.58,1,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6,73.52941,1980
2858,Francisco Trinaldo,Leandro Silva,1,155.0,f,DEC,3,2014,23,6,0,0,175.26,177.8,0,3.27,45.0,2.47,60.0,1.17,45.0,63.0,0.5,79.31035,1978,19,4,1,1,175.26,182.88,1,2.39,48.0,2.08,63.0,1.76,37.0,65.0,0.4,76.0,1985
2860,Rani Yahya,Johnny Bedford,1,135.0,f,SUB,2,2014,26,9,0,1,167.64,170.18,1,1.48,38.0,1.46,50.0,3.13,34.0,22.0,2.3,72.22222,1984,19,13,1,1,177.8,180.34,1,4.53,50.0,1.75,63.0,1.83,62.0,62.0,0.0,55.882355,1983
2861,Roy Nelson,Mark Hunt,0,265.0,f,KO/TKO,2,2014,23,14,0,0,182.88,182.88,1,2.18,36.0,4.79,46.0,1.14,27.0,65.0,0.1,62.162163,1976,13,13,1,1,177.8,182.88,1,2.89,43.0,2.84,51.0,0.53,55.0,64.0,0.2,46.42857,1974
2862,Takanori Gomi,Myles Jury,0,155.0,f,KO/TKO,1,2014,35,14,0,1,170.18,177.8,0,3.81,41.0,3.52,60.0,1.23,65.0,63.0,0.8,70.0,1978,17,3,0,0,177.8,185.42,1,2.61,40.0,1.48,71.0,2.5,55.0,50.0,0.3,85.0,1988
2863,Amir Sadollah,Yoshihiro Akiyama,0,170.0,f,DEC,3,2014,7,5,0,0,177.8,187.96,1,4.71,46.0,3.55,60.0,0.57,27.0,60.0,0.3,58.333332,1980,14,6,0,2,177.8,185.42,1,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,63.636364,1975
2864,Miesha Tate,Rin Nakai,1,,f,DEC,3,2014,18,7,0,0,167.64,165.1,1,1.93,41.0,2.71,50.0,2.06,31.0,52.0,1.6,72.0,1986,16,2,1,0,154.94,152.4,1,1.57,33.0,3.9,60.0,3.0,18.0,75.0,0.5,84.210526,1986
2866,Jon Delos Reyes,Kyoji Horiguchi,0,125.0,f,KO/TKO,1,2014,8,5,0,0,167.64,170.18,1,2.99,38.0,4.14,51.0,3.2,83.0,55.0,1.9,61.53846,1987,18,2,0,0,165.1,167.64,1,3.6,45.0,2.45,62.0,2.0,44.0,55.0,0.0,90.0,1990
2867,Alex Caceres,Masanori Kanehara,0,135.0,f,DEC,3,2014,14,11,0,1,177.8,185.42,0,3.86,49.0,2.78,63.0,0.57,75.0,59.0,0.8,53.846153,1988,25,13,5,0,170.18,170.18,1,1.88,49.0,1.63,62.0,1.44,50.0,63.0,0.9,58.139534,1982
2868,Sam Sicilia,Katsunori Kikuno,0,145.0,f,SUB,2,2014,15,8,0,0,172.72,170.18,1,2.46,33.0,3.55,59.0,1.45,43.0,70.0,0.9,65.21739,1986,23,8,2,0,172.72,167.64,1,2.64,40.0,2.47,61.0,1.88,75.0,76.0,0.8,69.69697,1981
2869,Takenori Sato,Hyun Gyu Lim,0,170.0,f,KO/TKO,1,2014,17,10,7,1,177.8,180.34,0,0.46,33.0,12.92,9.0,0.0,0.0,0.0,0.0,48.57143,1985,13,7,1,0,190.5,195.58,1,4.45,41.0,5.07,51.0,0.23,100.0,73.0,0.2,61.904762,1985
2870,Kyung Ho Kang,Michinori Tanaka,1,135.0,f,DEC,3,2014,14,8,0,1,175.26,182.88,1,2.39,42.0,1.97,58.0,2.29,66.0,75.0,1.3,60.869564,1987,11,3,0,0,165.1,170.18,1,1.97,37.0,1.99,50.0,2.4,38.0,43.0,0.2,78.57143,1990
2871,Johnny Case,Kazuki Tokudome,1,155.0,f,SUB,2,2014,22,6,0,0,177.8,182.88,1,3.95,38.0,2.66,61.0,1.7,45.0,72.0,0.0,78.57143,1989,12,6,1,0,180.34,185.42,0,2.26,41.0,3.63,53.0,2.0,38.0,78.0,0.0,63.157894,1987
2872,Maximo Blanco,Dan Hooker,1,145.0,f,DEC,3,2014,12,8,1,1,172.72,180.34,1,4.11,44.0,3.19,66.0,1.85,36.0,63.0,0.3,54.545456,1983,18,7,0,0,182.88,190.5,0,4.02,43.0,4.38,56.0,0.54,42.0,76.0,0.5,72.0,1990
2873,Chris Cariaso,Demetrious Johnson,0,125.0,t,SUB,2,2014,17,8,0,0,160.02,160.02,0,3.35,43.0,2.23,61.0,1.11,39.0,57.0,0.8,68.0,1981,27,3,1,0,160.02,167.64,1,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,87.09677,1986
2874,Eddie Alvarez,Donald Cerrone,0,155.0,f,DEC,3,2014,29,6,0,1,175.26,175.26,1,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,80.55556,1984,34,11,0,1,185.42,185.42,1,4.09,48.0,4.02,54.0,1.28,34.0,71.0,1.4,73.91304,1983
2875,Dustin Poirier,Conor McGregor,0,145.0,f,KO/TKO,1,2014,24,5,0,1,175.26,182.88,0,5.59,49.0,3.69,56.0,1.75,41.0,69.0,1.3,80.0,1989,21,4,0,0,175.26,187.96,0,5.27,48.0,4.43,55.0,0.75,62.0,70.0,0.0,84.0,1988
2876,Yoel Romero,Tim Kennedy,1,185.0,f,KO/TKO,3,2014,13,3,0,0,182.88,185.42,0,3.28,50.0,2.77,63.0,1.86,32.0,78.0,0.0,81.25,1977,18,6,0,0,180.34,187.96,1,2.78,47.0,1.84,62.0,2.58,35.0,70.0,0.7,75.0,1979
